主成分,特征值,方差贡献率,累计方差贡献率
PC1,7.9579265620984145,0.6889979707444512,0.6889979707444512
PC2,1.439240437944585,0.12460956172680385,0.8136075324712551
PC3,1.2098555689911294,0.10474939991265186,0.9183569323839069
PC4,0.629804287384359,0.05452850973024751,0.9728854421141544
PC5,0.2083724125904421,0.018040901522981993,0.9909263436371364
PC6,0.049132269579081796,0.004253876154033055,0.9951802197911694
PC7,0.0287718242854469,0.0024910670377010294,0.9976712868288705
PC8,0.016152693641191124,0.001398501613955941,0.9990697884428265
PC9,0.006881126560668288,0.0005957685333911936,0.9996655569762176
PC10,0.0032731343361240978,0.0002833882542098785,0.9999489452304275
PC11,0.0005896825885607782,5.105476957236173e-05,0.9999999999999999
