变量名称,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
人口数量（人）,1.0021195969838568,0.11656474482899602,0.08763765657058196,-0.0595433993817037,0.10060984216772775,-0.08880773103112315,-0.02838510081831952,-0.0023686401192334447,-0.017085112944062907,0.042677250931381604,-0.0030776089726734005
人均GDP（元）,1.018624749629786,-0.001102076398906432,0.04080863712456458,-0.06117226812796817,0.06117713538313852,-0.019931467246409585,0.0062884186790055675,-0.0040250299825971315,0.04888250707881424,-0.012244346634693684,-0.01612264675661254
人均个人储蓄存款余额（元）,1.0076691942913867,0.0005852862912380989,0.06353559367719744,-0.08613997078977213,0.029739342672811694,0.11338933512577731,0.0008997302182926865,0.09676495794878363,-0.003923472219308488,0.004789713016967159,0.0011894012435229172
城镇人均可支配收入（元）,1.010402275812631,0.08923770701720926,0.05581052157437413,-0.07775773242036406,0.08294943677559656,-0.05710074371283017,0.005007843445198657,-0.004153162689374162,0.03753227650171478,-0.007616842991145753,0.017682592643950612
土地购置费（万元）,0.9907875610062024,-0.10336057467506704,0.14352758044956118,-0.07228649357263921,-0.07995599055004421,0.13770805670352868,-0.0165917473269766,-0.07794908991044805,0.0020038951374699043,0.010771831278765026,0.001798084408369508
房地产行业年末从业人数（人）,1.0089706974139954,-0.12184136680961381,0.04005034360055157,-0.02091871349677695,0.05193048317439798,-0.03243700364562692,-0.0937889380449604,-0.006348163790932932,-0.03945105468207854,-0.03079777665176892,-0.0008386676513741226
完成投资额（万元）,1.003064013360352,0.15367172793141845,-0.0034534767718387392,0.0036423366443411745,0.01867885133662387,-0.018900971781148013,0.13413386269497446,-0.015214787301708462,-0.03425709703310302,-0.010872837814774227,-0.0010467201316171606
竣工房屋面积（万平方米）,0.4802430052983289,0.482787823000221,-0.4522869540746126,0.6159216318646717,0.034719598824157004,0.027815409937298714,-0.01865372400388431,-0.0036133934822322232,0.004192373161421701,0.00135303401455154,0.00023685834159696887
开发商市场垄断力指数,-0.021345333543632855,0.8745521778535014,-0.314212691336385,-0.40377327335882984,-0.14994609986477686,-0.0014179047996893518,-0.02096571941201582,-0.0009280488339838305,-0.0016431404228105344,-0.003283539920893322,-0.0008035814887079759
居民消费价格指数（CPI）,0.0031881211185580487,0.42461289337721586,0.8897599316752526,0.23038924062876726,-0.15621615913539655,-0.01958521002183445,-0.006901005253164669,0.009722541760313718,0.0015863669431465909,-0.003144282269388869,-0.0004060293633157772
三年至五年期贷款利率,-0.8017843382657159,0.4362599484768528,0.2760005727963751,-0.08889743330843135,0.3594592967426718,0.05655399271780785,-0.0014097281448451728,-0.017142963928825552,-0.0043494933902662875,-0.003956269989996371,-0.0005325563573290158
